id,grupo,edad,ingreso,gasto,cumplio,region,fecha
1,C,43,99060.47,74160.88,1,Sur,2024-01-01
2,A,56,136929.65,89442.96,0,Sur,2024-01-02
3,C,54,166807.98,137366.6,0,Norte,2024-01-03
4,C,59,129909.35,81514.94,1,Norte,2024-01-04
5,A,41,104359.59,97507.39,0,Centro,2024-01-05
6,A,46,106938.46,107800.55,1,Norte,2024-01-06
7,C,54,120325.85,86193.23,0,Norte,2024-01-07
8,B,20,129444.24,96672.19,0,Sur,2024-01-08
9,C,54,121570.61,90941.09,1,Norte,2024-01-09
10,C,56,132539.91,98585.23,1,Sur,2024-01-10
11,C,33,116326.37,61380.76,0,Sur,2024-01-11
12,C,22,124515.57,83677.09,0,Sur,2024-01-12
13,A,20,144120.26,88661.92,0,Centro,2024-01-13
14,C,24,93379.22,88407.03,1,Centro,2024-01-14
15,B,45,122717.79,100466.31,1,Centro,2024-01-15
16,A,33,122644.09,88044.02,1,Sur,2024-01-16
17,B,58,143016.67,59390.93,1,Centro,2024-01-17
18,B,46,114331.94,90643.69,0,Centro,2024-01-18
19,B,28,136326.21,64104.58,1,Norte,2024-01-19
20,B,34,147567.19,67411.2,1,Centro,2024-01-20
21,A,34,73754.93,72466.84,0,Centro,2024-01-21
22,A,45,149215.78,77994.46,1,Sur,2024-01-22
23,B,32,95365.46,52212.94,1,Sur,2024-01-23
24,B,51,92651.49,100104.08,1,Sur,2024-01-24
25,A,58,48013.58,59200.71,1,Sur,2024-01-25
26,A,51,99920.56,108261.99,1,Sur,2024-01-26
27,A,23,119878.58,59750.87,1,Sur,2024-01-27
28,C,49,110416.92,103074.57,1,Centro,2024-01-28
29,C,56,108436.83,79488.41,1,Sur,2024-01-29
30,C,42,92187.57,49104.36,1,Sur,2024-01-30
31,B,58,141680.74,61226.69,0,Norte,2024-01-31
32,C,34,143960.35,103876.49,0,Centro,2024-02-01
33,B,48,130452.96,88075.68,0,Centro,2024-02-02
34,B,55,72836.8,78582.83,0,Centro,2024-02-03
35,C,32,176833.63,40098.3,0,Sur,2024-02-04
36,B,51,123674.37,105012.19,1,Sur,2024-02-05
37,C,26,133490.23,113667.63,1,Sur,2024-02-06
38,C,41,82542.61,110384.31,1,Norte,2024-02-07
39,A,47,119713.91,68925.59,1,Sur,2024-02-08
40,C,21,130333.85,86890.39,1,Norte,2024-02-09
41,A,25,116477.54,88858.54,1,Centro,2024-02-10
42,C,47,141804.05,52505.85,1,Sur,2024-02-11
43,C,47,152508.63,83248.87,1,Norte,2024-02-12
44,A,39,86411.91,99278.75,0,Norte,2024-02-13
45,A,49,141253.01,93760.61,0,Sur,2024-02-14
46,C,30,129858.5,59999.05,0,Centro,2024-02-15
47,B,47,119882.6,64472.93,0,Centro,2024-02-16
48,A,44,80729.7,94230.69,0,Centro,2024-02-17
49,B,58,156996.22,91391.34,1,Norte,2024-02-18
50,B,52,129919.36,39425.14,1,Norte,2024-02-19
51,B,20,75418.72,35781.32,0,Norte,2024-02-20
52,A,46,113921.64,78622.42,0,Norte,2024-02-21
53,B,32,128180.58,69386.25,0,Centro,2024-02-22
54,A,22,132664.38,74630.58,1,Sur,2024-02-23
55,B,58,116809.88,72596.77,1,Norte,2024-02-24
56,C,25,128539.77,97712.42,1,Norte,2024-02-25
57,C,27,172972.16,81864.23,0,Centro,2024-02-26
58,A,46,158663.42,84817.45,1,Sur,2024-02-27
59,C,28,96262.02,55838.37,1,Sur,2024-02-28
60,C,56,105077.57,19446.28,0,Centro,2024-02-29
61,B,52,117219.9,100223.75,1,Centro,2024-03-01
62,A,43,76273.26,118577.69,1,Sur,2024-03-02
63,B,34,86464.91,73833.4,1,Norte,2024-03-03
64,B,51,79457.63,84487.66,1,Sur,2024-03-04
65,B,51,91307.0,85841.33,1,Centro,2024-03-05
66,B,43,154740.07,110155.28,1,Norte,2024-03-06
67,B,31,98618.99,96001.72,1,Norte,2024-03-07
68,B,58,94323.46,88929.16,1,Centro,2024-03-08
69,B,21,142070.94,81000.3,1,Centro,2024-03-09
70,A,22,108767.39,81084.19,1,Centro,2024-03-10
71,C,56,130465.99,54089.69,1,Sur,2024-03-11
72,B,36,101795.52,73097.22,1,Sur,2024-03-12
73,B,21,74952.8,95951.64,1,Norte,2024-03-13
74,B,21,131692.93,75793.34,0,Centro,2024-03-14
75,B,47,81214.15,80798.31,1,Norte,2024-03-15
76,B,42,107237.67,58829.71,1,Norte,2024-03-16
77,B,56,101676.22,88019.12,1,Norte,2024-03-17
78,C,51,124883.66,53688.38,1,Norte,2024-03-18
79,C,52,106101.38,85217.89,0,Centro,2024-03-19
80,B,20,116806.63,76629.95,1,Norte,2024-03-20
81,C,38,80986.07,48620.87,1,Centro,2024-03-21
82,A,21,170008.7,99250.6,1,Centro,2024-03-22
83,B,45,89996.71,77050.43,1,Sur,2024-03-23
84,A,51,150034.51,113494.0,1,Centro,2024-03-24
85,A,25,123745.84,106608.54,1,Sur,2024-03-25
86,B,51,123522.68,64169.58,0,Centro,2024-03-26
87,C,23,128860.49,65749.04,0,Centro,2024-03-27
88,A,30,72992.19,58904.42,1,Centro,2024-03-28
89,B,36,144159.8,51443.65,0,Sur,2024-03-29
90,A,57,107226.39,72400.81,0,Sur,2024-03-30
91,A,43,150259.97,105987.45,1,Norte,2024-03-31
