ds,y
2023-01-01,100.96
2023-01-02,99.88
2023-01-03,104.95
2023-01-04,103.63
2023-01-05,103.92
2023-01-06,105.39
2023-01-07,107.2
2023-01-08,106.86
2023-01-09,108.86
2023-01-10,105.6
2023-01-11,107.48
2023-01-12,105.75
2023-01-13,112.19
2023-01-14,112.28
2023-01-15,110.22
2023-01-16,107.63
2023-01-17,112.47
2023-01-18,107.61
2023-01-19,107.72
2023-01-20,107.7
2023-01-21,107.48
2023-01-22,107.03
2023-01-23,106.3
2023-01-24,104.21
2023-01-25,104.55
2023-01-26,102.37
2023-01-27,102.63
2023-01-28,101.62
2023-01-29,101.16
2023-01-30,100.16
2023-01-31,97.79
2023-02-01,98.46
2023-02-02,98.15
2023-02-03,94.73
2023-02-04,95.86
2023-02-05,96.89
2023-02-06,98.37
2023-02-07,97.0
2023-02-08,98.5
2023-02-09,95.44
2023-02-10,96.74
2023-02-11,98.01
2023-02-12,93.87
2023-02-13,100.3
2023-02-14,96.0
2023-02-15,101.14
2023-02-16,101.6
2023-02-17,98.05
2023-02-18,99.17
2023-02-19,105.83
2023-02-20,106.6
2023-02-21,104.56
2023-02-22,105.64
2023-02-23,108.8
2023-02-24,109.03
2023-02-25,111.59
2023-02-26,111.62
2023-02-27,114.09
2023-02-28,113.89
2023-03-01,114.13
2023-03-02,113.03
2023-03-03,113.3
2023-03-04,114.13
2023-03-05,117.11
2023-03-06,113.76
2023-03-07,114.65
2023-03-08,110.67
2023-03-09,114.71
2023-03-10,116.63
2023-03-11,111.3
2023-03-12,116.82
2023-03-13,111.61
2023-03-14,106.7
2023-03-15,109.15
2023-03-16,110.85
2023-03-17,110.96
2023-03-18,108.14
2023-03-19,108.53
2023-03-20,103.54
2023-03-21,103.46
2023-03-22,101.2
2023-03-23,102.11
2023-03-24,103.53
2023-03-25,102.18
2023-03-26,102.73
2023-03-27,99.71
2023-03-28,99.6
2023-03-29,101.14
2023-03-30,99.97
2023-03-31,102.99
2023-04-01,100.39
2023-04-02,101.0
2023-04-03,102.9
2023-04-04,102.33
2023-04-05,101.8
2023-04-06,102.83
2023-04-07,106.19
2023-04-08,104.33
2023-04-09,109.49
2023-04-10,107.43
2023-04-11,110.48
2023-04-12,109.71
2023-04-13,110.37
2023-04-14,113.19
2023-04-15,115.43
2023-04-16,114.46
2023-04-17,115.64
2023-04-18,117.79
2023-04-19,118.58
2023-04-20,117.91
2023-04-21,117.84
2023-04-22,119.04
2023-04-23,118.93
2023-04-24,119.86
2023-04-25,117.65
2023-04-26,119.79
2023-04-27,118.1
2023-04-28,120.22
2023-04-29,117.43
2023-04-30,116.94
