id;nombre;tipo;comuna;barrio;longitud_m;anio;turno;cantidadFrecuencia
14588;RINCON;Ciclovías mano doble;3;San Cristobal;118.72;2024;mañana;0
7180;NUEVA YORK;Ciclovías mano doble;15;Agronomia;129.98;2024;mañana;5
15268;ESTADOS UNIDOS;Ciclovías mano doble;5;Boedo;71.00;2024;mañana;78
17386;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;132.34;2024;mañana;23
14804;CEVALLOS, VIRREY;Ciclovías mano doble;1;Constitucion;148.33;2024;mañana;172
14229;FRAY CAYETANO RODRIGUEZ;Ciclovías mano doble;7;Flores;126.83;2024;mañana;25
14153;GONZALEZ, ELPIDIO;Ciclovías mano doble;10;Monte Castro;113.14;2024;mañana;27
17058;BOLIVAR;Ciclovías mano doble;4;Barracas;18.81;2024;mañana;25
6841;FRENCH;Ciclovías mano doble;2;Recoleta;113.17;2024;mañana;70
7825;ARENALES;Ciclovías mano doble;2;Recoleta;117.05;2024;mañana;82
5268;GODOY CRUZ;Ciclovías mano doble;14;Palermo;139.77;2024;mañana;86
9556;TUCUMAN;Ciclovías mano doble;1;San Nicolas;36.99;2024;mañana;125
19214;RONDEAU;Ciclovías mano doble;4;Parque Patricios;168.77;2024;mañana;0
5105;ROSETI;Ciclovías mano doble;15;Chacarita;98.50;2024;mañana;67
31866;GODOY CRUZ;Ciclovías mano doble;14;Palermo;72.65;2024;mañana;86
10575;GARCIA, JUAN AGUSTIN;Ciclovías mano doble;11;Villa Gral. Mitre;124.24;2024;mañana;29
16708;MORON;Ciclovías mano doble;10;Floresta;117.52;2024;mañana;55
14513;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;153.29;2024;mañana;122
20423;PRIMERA JUNTA;Ciclovías mano doble;7;Flores;72.93;2024;mañana;8
19293;PICHEUTA;Ciclovías mano doble;7;Parque Chacabuco;101.53;2024;mañana;13
11121;BOLIVAR;Ciclovías mano doble;1;Monserrat;10.77;2024;mañana;25
18587;LAS CASAS;Ciclovías mano doble;5;Boedo;139.75;2024;mañana;0
3865;CERETTI;Ciclovías mano doble;12;Villa Urquiza;99.83;2024;mañana;29
12809;VALLESE, FELIPE;Ciclovías mano doble;6;Caballito;114.52;2024;mañana;39
14079;DOBLAS;Ciclovías mano doble;6;Caballito;123.76;2024;mañana;59
15887;CONSTITUCION;Ciclovías mano doble;1;Constitucion;154.75;2024;mañana;0
14208;CHIVILCOY;Ciclovías mano doble;10;Floresta;67.69;2024;mañana;70
11858;GARCIA, JUAN AGUSTIN;Ciclovías mano doble;11;Villa Santa Rita;27.33;2024;mañana;29
17214;HUGO, VICTOR;Ciclovías mano doble;10;Villa Luro;125.54;2024;mañana;25
