"establecimiento_id","establecimiento_nombre","localidad_id","localidad_nombre","provincia_id","provincia_nombre","departamento_id","departamento_nombre","cod_loc","cod_ent ","origen_financiamiento","tipologia_id","tipologia_nombre","tipologia","cp","domicilio","sitio_web"
70260072329721,"PUJOL",26007020000,"PUERTO MADRYN",26,"CHUBUT",7,"BIEDMA",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",9120,"LOS MAITENES  1538",
70100352324743,"SALUDFARMA",10035020000,"BELEN",10,"CATAMARCA",35,"BELÉN",20,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",4750,"Mitre 14",
70064412318286,"MARSICO",6441030015,"LA PLATA",6,"BUENOS AIRES",441,"LA PLATA",30,15,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1900,"Avenida 7 445",
70340492347884,"PERALTA HNOS",34049010000,"CLORINDA",34,"FORMOSA",49,"PILCOMAYO",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3610,"Avenida San Martin 470",
70140142334991,"VALENTINO",14014010000,"CORDOBA",14,"CÓRDOBA",14,"CAPITAL",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",5000,"Catamarca 1047",
70060352318295,"MODERNA",6035010006,"PIÑEYRO",6,"BUENOS AIRES",35,"AVELLANEDA",10,6,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1870,"Avenida Galicia 410",
70067072315037,"BOTIQUIN FARMACIA",6707000003,"BLAQUIER",6,"BUENOS AIRES",707,"SALADILLO",0,0,"Privado",70,"FARMACIA","Botiquín",6065,"Buenos Aires S/n",
70060912318298,"BIANCHI",6091010001,"BERAZATEGUI",6,"BUENOS AIRES",91,"BERAZATEGUI",10,1,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1884,"Avenida 14 Presidente Juan Domingo Perón 4653",
70060912818296,"MUTUAL DUCILO",6091010001,"BERAZATEGUI",6,"BUENOS AIRES",91,"BERAZATEGUI",10,1,"Mutual",70,"FARMACIA","Farmacia de mutual, cooperativa, obra social (para afiliados solamente)",1884,"Avenida Mitre 442",
70460142355640,"FARMACIA CLINICA AVIAT S.R.L",46014010000,"LA RIOJA",46,"LA RIOJA",14,"CAPITAL",10,0,"Privado",70,"FARMACIA","Farmacia en Establecimiento de Salud",5300,"Benjamín de la Vega 21",
70460142355641,"FARMACIA COLEGIO MEDICO",46014010000,"LA RIOJA",46,"LA RIOJA",14,"CAPITAL",10,0,"Privado",70,"FARMACIA","Farmacia en Establecimiento de Salud",5300,"Avenida Facundo Quiroga 430",
70340282347858,"JUAREZ",34028010000,"INGENIERO GUILLERMO N. JUAREZ",34,"FORMOSA",28,"MATACOS",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",3636,"calle Saavedra y Tucumán",
70100352124818,"BOTIQUIN OSEP BELEN",10035020000,"BELEN",10,"CATAMARCA",35,"BELÉN",20,0,"Provincial",70,"FARMACIA","Botiquín",4750,"Sarmiento 386",
70421472353770,"FARMACIA CHICO",42147030000,"TRENEL",42,"LA PAMPA",147,"TRENEL",30,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",6369,"ANTONIO DEVOTO 178",
70100492324465,"VITAL",10049050,"CAPITAL",10,"CATAMARCA",49,"CAPITAL",50,,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",4700,"AV. SANCHEZ OVIEDO Nº1047",
70460142355625,"FARMASUAR- SUCURSAL 1",46014010000,"LA RIOJA",46,"LA RIOJA",14,"CAPITAL",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",5300,"Av. San Nicolas de Bari N° 1255",
70460142355626,"FARMANOR S.R.L",46014010000,"LA RIOJA",46,"LA RIOJA",14,"CAPITAL",10,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",5300,"Avenida San Francisco N° 600- Barrio Cochangasta- La Rioja",
70064272318471,"MAGNANI",6427010008,"RAFAEL CASTILLO",6,"BUENOS AIRES",427,"LA MATANZA",10,8,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1755,"Ventura Yanzi 2155",
70067702318472,"ALLEGRONE",6770050000,"SAN PEDRO",6,"BUENOS AIRES",770,"SAN PEDRO",50,0,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",2930,"Bartolomé Mitre 1790",
70067602318367,"LOS HORNEROS S.C.S",6760010003,"MUÑIZ",6,"BUENOS AIRES",760,"SAN MIGUEL",10,3,"Privado",70,"FARMACIA","Farmacia ambulatoria comercial",1663,"San José 914",
